id,front,back,example
166,سرمایه,ثروتی که برای ایجاد درآمد استفاده می‌شود؛ مرکز دولت یک کشور.,سرمایه‌گذاری در سرمایه انسانی از طریق آموزش بازده اقتصادی بلندمدت قابل توجهی دارد.
167,نمودار,نمایش بصری داده‌ها؛ ثبت داده‌ها.,نمودار افزایش پیوسته‌ای در دمای متوسط جهانی از ۱۹۸۰ تا ۲۰۲۰ را نشان می‌دهد.
168,انتخاب,گزینشی که از بین گزینه‌های موجود انجام می‌شود.,دولت‌ها باید در حالی که شهروندان را به خوبی آگاه می‌کنند به انتخاب فردی احترام بگذارند.
169,جمع‌آوری کردن,گردآوری اقلام یا اطلاعات با هم.,محققان داده‌ها را از هزاران شرکت‌کننده جمع‌آوری می‌کنند تا از قابلیت اطمینان آماری اطمینان حاصل کنند.
170,متعهد شدن,تعهد دادن یا اختصاص دادن خود به یک مسیر عمل.,کشورها باید به توافقات الزام‌آور برای کاهش قابل توجه انتشار گازهای گلخانه‌ای خود متعهد شوند.
171,ارتباط برقرار کردن,به اشتراک گذاشتن یا تبادل اطلاعات به طور مؤثر.,توانایی برقراری ارتباط روشن و متقاعدکننده در زندگی علمی و حرفه‌ای ضروری است.
172,رقابت کردن,تلاش در برابر دیگران برای هدف یکسان.,کشورها باید در آموزش و نوآوری سرمایه‌گذاری کنند تا در اقتصاد جهانی به طور مؤثر رقابت کنند.
173,تعارض,یک اختلاف جدی یا مبارزه طولانی.,درگیری مسلحانه همچنان میلیون‌ها نفر را در مناطق مختلف جهان آواره می‌کند.
174,قرارداد,یک توافق حقوقی رسمی بین طرفین.,کارگران باید همیشه قرارداد استخدامی را پیش از امضا به دقت بخوانند.
175,کنار آمدن,رسیدگی مؤثر به یک وضعیت دشوار.,بسیاری از جوامع برای کنار آمدن با افزایش دفعات بلایای طبیعی تلاش می‌کنند.
176,فاسد,غیر امین یا آماده برای عمل غیراخلاقی به دنبال منفعت.,مقامات فاسدی که وجوه عمومی را سوء استفاده می‌کنند اعتماد شهروندان به دولت را تضعیف می‌کنند.
177,هزینه,مقداری که برای خرید یا انجام کاری لازم است.,افزایش هزینه زندگی برای خانواده‌های کم‌درآمد تأمین مسکن را به طور فزاینده‌ای دشوار کرده است.
178,جرم,یک عمل غیرقانونی که با قانون مجازات می‌شود.,پرداختن به ریشه‌های فقر برای کاهش نرخ جرائم خشونت‌آمیز ضروری است.
179,بحران,زمانی از دشواری یا خطر شدید.,بحران مالی جهانی ۲۰۰۸ نشان داد که اقتصادهای مدرن چقدر به هم وابسته شده‌اند.
180,انتقادی,شامل تحلیل دقیق؛ از اهمیت زیاد.,تفکر انتقادی یک مهارت ضروری برای تحلیل موضوعات پیچیده در زندگی علمی و حرفه‌ای است.
181,کاهش یافتن,کوچکتر یا کمتر شدن در اندازه یا مقدار.,کاهش پیوسته‌ای در تعداد مردمی که در فقر شدید زندگی می‌کنند در سطح جهانی رخ داده است.
182,دموکراسی,سیستمی از حکومت توسط نمایندگان منتخب.,یک دموکراسی پویا به شهروندی آگاه و مطبوعات آزاد وابسته است.
183,شناسایی کردن,کشف یا تشخیص وجود چیزی.,ابزارهای غربالگری پیشرفته می‌توانند برخی سرطان‌ها را در مرحله اولیه و قابل درمان‌تری شناسایی کنند.
184,بیماری,یک ناخوشی ناشی از عفونت یا اختلال.,جلوگیری از گسترش بیماری عفونی به سرمایه‌گذاری قابل توجه در زیرساخت بهداشت عمومی نیاز دارد.
185,داخلی,مربوط به خانه یا کشور خود.,تصمیمات سیاست داخلی می‌توانند پیامدهای قابل توجهی برای موضع بین‌المللی یک کشور داشته باشند.
186,مسلط بودن,داشتن بیشترین قدرت یا نفوذ بر دیگران.,تعداد کمی از شرکت‌های چندملیتی بر تجارت جهانی در تولید مواد غذایی مسلط هستند.
187,اقتصاد,سیستم تولید و مصرف در یک کشور.,تنوع‌بخشی به اقتصاد ملی آسیب‌پذیری یک کشور را در برابر شوک‌های قیمت کالاها کاهش می‌دهد.
188,انتشار,تولید و رها کردن گاز به جو.,کاهش انتشار کربن در مرکز تلاش‌های بین‌المللی برای مقابله با تغییرات آب و هوایی قرار دارد.
189,اجرا کردن,مجبور کردن به رعایت یک قانون یا مقررات.,بدون منابع کافی، دولت‌ها نمی‌توانند قوانین حفاظت از محیط زیست را به طور مؤثر اجرا کنند.
190,شناسایی کردن,تشخیص یا تعیین هویت چیزی.,این مطالعه هدف دارد عوامل کلیدی مؤثر بر افزایش سطح بیکاری جوانان را شناسایی کند.
191,مشاهده کردن,نگاه دقیق به چیزی یا توجه کردن.,دانشمندان رفتار حیوانات را در زیستگاه‌های طبیعی مشاهده می‌کنند تا سیستم‌های اکولوژیکی را بهتر بشناسند.
192,دسته,یک کلاس یا گروه از چیزهایی با ویژگی‌های مشترک.,گزارش زباله را به سه دسته اصلی تقسیم می‌کند: قابل بازیافت، آلی و خطرناک.
193,اصل,یک حقیقت بنیادی یا قاعده‌ای که رفتار را هدایت می‌کند.,اصل برابری زیربنای قانون بین‌المللی حقوق بشر و حکمرانی دموکراتیک است.
194,منتشر کردن,در دسترس عموم قرار دادن اطلاعات یا اثر.,محققان باید یافته‌های خود را در مجلات معتبر منتشر کنند تا به دانش علمی کمک کنند.
195,نوآوری کردن,معرفی ایده‌ها یا روش‌های جدید.,شرکت‌هایی که نوآوری نمی‌کنند در معرض خطر رقابت رقبای چابک‌تر در بازار قرار می‌گیرند.
196,ادغام کردن,ترکیب یا گنجاندن اجزا در یک کل.,سیاست‌های مؤثری لازم است تا به پناهندگان کمک کند در جوامع میزبان خود ادغام شوند.
197,اختصاص دادن,توزیع منابع برای یک هدف خاص.,دولت‌ها باید بودجه کافی برای نگهداری و بهبود خدمات بهداشت عمومی اختصاص دهند.
198,هماهنگ کردن,سازماندهی مردم یا گروه‌ها برای کار مشترک.,آژانس‌های بین‌المللی باید تلاش‌های امداد فاجعه خود را برای به حداکثر رساندن اثربخشی هماهنگ کنند.
199,مناظره,یک بحث رسمی از دیدگاه‌های مخالف.,بحث مداومی بین اقتصاددانان درباره اثرات بلندمدت جهانی‌شدن بر نابرابری وجود دارد.
200,افشا کردن,آشکار کردن یا بی‌حفاظ گذاشتن در برابر چیزی.,کودکانی که در معرض خشونت در رسانه‌ها قرار می‌گیرند ممکن است نگرش‌های حساسیت‌زدایی شده نسبت به آسیب ایجاد کنند.
201,شتاب گرفتن,افزایش سرعت یا نرخ.,نوآوری فناورانه رشد اقتصادی را در بسیاری از کشورهای در حال توسعه شتاب بخشیده است.
202,جا دادن,فراهم کردن فضا یا تطبیق با نیازها.,شهرها باید زیرساخت را برای جا دادن جمعیت رو به رشد شهری گسترش دهند.
203,انباشت کردن,به تدریج جمع کردن یا افزایش یافتن در طول زمان.,خانوارهای کشورهای توسعه‌یافته تمایل دارند در طول نسل‌ها ثروت بیشتری انباشت کنند.
204,پذیرفتن,تشخیص یا اعتراف به وجود چیزی.,دولت‌ها باید نقش فقر در ایجاد نابرابری اجتماعی را بپذیرند.
205,اکتساب,عمل به دست آوردن یا کسب چیزی.,اکتساب زبان در دوران کودکی برای موفقیت تحصیلی بلندمدت کودک حیاتی است.
206,مضر,آسیب‌رسان یا نامطلوب از نظر اثر.,قرار گرفتن طولانی مدت در معرض آلودگی می‌تواند اثرات مضری بر سلامت عمومی داشته باشد.
207,حمایت کردن,پشتیبانی عمومی از یک هدف یا سیاست.,بسیاری از مربیان از کلاس‌های کوچکتر برای بهبود نتایج یادگیری حمایت می‌کنند.
208,کاهش دادن (رنج),کمتر کردن شدت رنج یا مشکل.,برنامه‌های کمک خارجی هدف دارند فقر را در کمترین توسعه‌یافته‌ترین کشورهای جهان کاهش دهند.
209,بلندپروازانه,داشتن خواسته قوی برای دستیابی به اهداف چالش‌برانگیز.,دولت یک هدف بلندپروازانه برای کاهش انتشار کربن ۵۰ درصدی تا ۲۰۳۰ تعیین کرد.
210,تقویت کردن,افزایش قدرت یا اثر چیزی.,رسانه‌های اجتماعی می‌توانند گفتمان عمومی را تقویت کنند اما اطلاعات غلط را نیز به سرعت منتشر کنند.
211,پیش‌بینی کردن,انتظار داشتن یا پیش‌بینی چیزی پیش از وقوع آن.,سیاستگذاران باید تغییرات جمعیتی آینده را هنگام برنامه‌ریزی خدمات عمومی پیش‌بینی کنند.
212,آشکار,به وضوح قابل مشاهده یا واضح؛ به نظر درست رسیدن.,آشکار است که دسترسی به آموزش باکیفیت در میان طبقات اجتماعی همچنان نابرابر است.
213,نسبت دادن,در نظر گرفتن چیزی به عنوان ناشی از یک عامل.,محققان افزایش چاقی را عمدتاً به عادات غذایی ضعیف و بی‌تحرکی نسبت می‌دهند.
214,مستقل,عمل کردن به طور مستقل بدون کنترل خارجی.,انتظار می‌رود وسایل نقلیه مستقل صنعت حمل و نقل جهانی را متحول کنند.
215,تنوع زیستی,تنوع حیات گیاهی و جانوری در یک زیستگاه.,جنگل‌زدایی تهدید قابل توجهی برای تنوع زیستی در جنگل‌های بارانی استوایی است.
216,بار,یک بار سنگین یا مسئولیت؛ بیش از حد بارگذاری کردن.,افزایش هزینه‌های مراقبت‌های بهداشتی بار قابل توجهی بر هم افراد و هم دولت‌ها وارد می‌کند.
217,ظرفیت,حداکثر مقداری که چیزی می‌تواند نگه دارد یا انجام دهد.,کشورهای در حال توسعه باید ظرفیت نهادی خود را برای مقابله مؤثر با تغییرات آب و هوایی افزایش دهند.
218,ردپای کربن,مجموع گازهای گلخانه‌ای تولید شده توسط یک موجودیت.,افراد می‌توانند با اتخاذ رژیم‌های غذایی گیاهی ردپای کربن خود را به طور قابل توجهی کاهش دهند.
219,مزمن,برای مدت طولانی پایدار؛ به طور مداوم تکرار شونده.,بیکاری مزمن در مناطق روستایی به فقر گسترده و طرد اجتماعی کمک می‌کند.
220,مدنی,مربوط به شهروندان و مسئولیت‌هایشان.,مشارکت مدنی برای حفظ یک دموکراسی سالم و کارکرد ضروری است.
221,همکاری,کار مشترک با دیگران برای دستیابی به یک هدف.,همکاری بین‌المللی برای مقابله با چالش‌های جهانی مانند تغییرات آب و هوایی ضروری است.
222,شایستگی,توانایی انجام مؤثر کاری.,کارفرمایان به طور فزاینده‌ای شایستگی دیجیتال را در کنار مدارک علمی سنتی ارزش می‌گذارند.
223,تطابق,رعایت قوانین، استانداردها یا قوانین.,رعایت دقیق مقررات زیست‌محیطی برای توسعه صنعتی پایدار ضروری است.
224,جامع,شامل همه جنبه‌ها؛ کامل و دقیق.,رویکردی جامع به بهداشت عمومی باید هم به پیشگیری و هم به درمان بپردازد.
225,محدودیت,یک محدودیت یا قید بر عمل.,محدودیت‌های بودجه‌ای اغلب از سرمایه‌گذاری کافی دولت‌ها در زیرساخت عمومی جلوگیری می‌کند.
226,مصرف,استفاده از کالاها، منابع یا انرژی.,کاهش مصرف انرژی یک استراتژی کلیدی برای مبارزه با تغییرات آب و هوایی در سطح جهانی است.
227,معاصر,موجود یا رخ داده در زمان حال.,جامعه معاصر با چالش‌های بی‌سابقه‌ای مرتبط با فناوری دیجیتال و حریم خصوصی روبرو است.
228,بحث‌برانگیز,ایجاد کننده اختلاف نظر یا مناظره شدید.,استفاده از انرژی هسته‌ای همچنان یک موضوع بسیار بحث‌برانگیز در مناظرات زیست‌محیطی است.
229,همبستگی نشان دادن,نشان دادن رابطه متقابل بین دو چیز.,تحقیقات نشان می‌دهد که سطوح بالاتر تحصیلات به شدت با نتایج اقتصادی بهتر همبستگی دارد.
230,برنامه درسی,موضوعاتی که در یک مدرسه یا دوره تدریس می‌شوند.,بسیاری از مربیان استدلال می‌کنند که برنامه درسی ملی باید مهارت‌های تفکر انتقادی بیشتری را شامل شود.
231,جنگل‌زدایی,پاکسازی گسترده جنگل‌ها توسط انسان.,جنگل‌زدایی در آمازون عمدتاً توسط گسترش کشاورزی و دامداری تقویت می‌شود.
232,جمعیت‌شناختی,داده‌های آماری مربوط به یک گروه جمعیتی.,تغییرات جمعیت‌شناختی به سمت جمعیت‌های سالمند فشار قابل توجهی بر سیستم‌های بازنشستگی وارد خواهد کرد.
233,تحلیل بردن,کاهش دادن یا اتمام یک منبع.,صید بیش از حد ماهی به تحلیل بردن منابع دریایی با سرعتی هشداردهنده و غیرپایدار ادامه می‌دهد.
234,رو به وخامت رفتن,به تدریج بدتر شدن از نظر کیفیت.,بدون مداخله فوری، شرایط زیست‌محیطی در مناطق شهری به رو به وخامت رفتن ادامه خواهد داد.
235,دیجیتال,مربوط به فناوری رایانه و اینترنت.,شکاف دیجیتال بین کشورهای ثروتمند و فقیر خطر تشدید بیشتر نابرابری جهانی را دارد.
236,کاهش دادن,کوچکتر یا کم‌اهمیت‌تر کردن یا شدن.,اتوماسیون ممکن است تقاضا برای نیروی کار کم‌مهارت در بخش‌های تولیدی را کاهش دهد.
237,مغایرت,تفاوتی بین چیزهایی که باید با هم مطابقت داشته باشند.,مغایرت قابل توجهی بین اهداف اعلام شده دولت و سیاست‌های واقعی آن وجود دارد.
238,تبعیض,رفتار ناعادلانه بر اساس عضویت در گروه.,تبعیض در محیط کار علیه زنان همچنان مانع قابل توجهی برای برابری جنسیتی است.
239,نابرابری,تفاوت زیاد بین چیزها یا گروه‌ها.,نابرابری فزاینده ثروت بین ثروتمندترین و فقیرترین شهروندان انسجام اجتماعی را تهدید می‌کند.
240,آوارگی,اخراج اجباری مردم از خانه‌هایشان.,درگیری مسلحانه موجب آوارگی میلیون‌ها نفر در سراسر خاورمیانه شده است.
241,اختلال,یک آشفتگی که فعالیت عادی را قطع می‌کند.,نوآوری دیجیتال اختلال گسترده‌ای در مدل‌های کسب‌وکار و صنایع سنتی ایجاد کرده است.
242,مسلط,قدرتمندترین، مهم‌ترین یا با بیشترین نفوذ.,زبان انگلیسی به زبان مسلط تجارت بین‌المللی و تحقیقات علمی تبدیل شده است.
243,خشکسالی,یک دوره طولانی از بارش غیرطبیعی کم.,خشکسالی طولانی در آفریقای زیر صحرا به شدت به تولید کشاورزی و امنیت غذایی آسیب زده است.
244,اکولوژیک,مربوط به رابطه بین موجودات و محیط.,شیوه‌های کشاورزی صنعتی آسیب اکولوژیکی شدیدی به خاک و آبراهه‌ها وارد کرده است.
245,تأکید,اهمیت ویژه‌ای که به چیزی داده می‌شود.,تأکید فزاینده‌ای بر توسعه مهارت‌های نرم در برنامه‌های آموزشی مدرن وجود دارد.
246,همه‌گیری,وقوع گسترده بیماری در یک منطقه.,همه‌گیری چاقی در کشورهای ثروتمند با سبک زندگی کم‌تحرک و رژیم غذایی ضعیف مرتبط است.
247,برابری,حالت داشتن حقوق و فرصت‌های برابر.,دستیابی به برابری جنسیتی در محیط کار نیازمند اصلاح قانونی و تغییر فرهنگی است.
248,اخلاقی,مربوط به اصول اخلاقی و رفتار درست.,استفاده از هوش مصنوعی سؤالات اخلاقی مهمی درباره حریم خصوصی و پاسخگویی مطرح می‌کند.
249,هزینه,مقدار پولی که برای چیزی خرج می‌شود.,افزایش هزینه‌های دولتی در آموزش می‌تواند مزایای اقتصادی بلندمدت قابل توجهی داشته باشد.
250,بهره‌کشی کردن,استفاده ناعادلانه یا بهره‌برداری از یک منبع.,شرکت‌های چندملیتی به خاطر بهره‌کشی از نیروی کار ارزان در کشورهای در حال توسعه مورد انتقاد قرار گرفته‌اند.
251,انقراض,پایان کامل وجود یک گونه.,فعالیت انسانی گونه‌های بی‌شماری از گیاهان و جانوران را به سمت انقراض سریع سوق می‌دهد.
252,تسهیل کردن,آسانتر کردن یک عمل یا فرآیند.,زیرساخت حمل و نقل بهبودیافته می‌تواند تجارت را تسهیل کرده و توسعه اقتصادی را به طور قابل توجهی تقویت کند.
253,مالی,مربوط به درآمد دولت و مالیات.,دولت‌ها باید سیاست‌های مالی محتاطانه‌ای اتخاذ کنند تا از انباشت بدهی ملی بیش از حد جلوگیری کنند.
254,انعطاف‌پذیر,قادر به تطبیق آسان با شرایط متغیر.,ترتیبات کاری انعطاف‌پذیر نشان داده‌اند که رفاه و بهره‌وری کارکنان را بهبود می‌بخشند.
255,سوخت فسیلی,منبع انرژی تشکیل شده از مواد آلی باستانی.,سوزاندن مداوم سوخت‌های فسیلی عامل اصلی تغییرات آب و هوایی جهانی است.
256,شکننده,به آسانی شکسته یا آسیب‌دیده؛ ظریف و آسیب‌پذیر.,کشورهای جزیره کوچک دارای اکوسیستم‌های به ویژه شکننده‌ای هستند که توسط افزایش سطح دریا تهدید می‌شوند.
257,چارچوب,یک ساختار یا سیستم اساسی برای هدایت عمل.,یک چارچوب حقوقی روشن برای تنظیم اخلاقی استفاده از هوش مصنوعی لازم است.
258,بنیادی,تشکیل دهنده یک پایه یا هسته اساسی.,دسترسی به آب پاک یک حق بنیادی بشری است که بسیاری از مردم همچنان از آن محروم هستند.
259,جهانی‌شدن,یکپارچگی فزاینده اقتصادی و فرهنگی در سراسر جهان.,جهانی‌شدن فرصت‌های جدیدی برای تجارت ایجاد کرده اما رقابت اقتصادی را نیز افزایش داده است.
260,مراقبت‌های بهداشتی,ارائه سازمان‌یافته خدمات پزشکی به مردم.,مراقبت‌های بهداشتی جهانی تضمین می‌کند که همه شهروندان صرف نظر از درآمد درمان پزشکی دریافت کنند.
261,فرضیه,یک توضیح پیشنهادی که نیاز به آزمایش بیشتر دارد.,محقق فرضیه‌ای مطرح کرد که رژیم غذایی مستقیماً بر رشد شناختی کودکان تأثیر می‌گذارد.
262,یکسان,دقیقاً در هر جزئیاتی مشابه.,این مطالعه نتایج تقریباً یکسانی را در دو گروه با پیشینه‌های آموزشی متفاوت یافت.
263,پیامد ضمنی,یک نتیجه احتمالی یا معنای پیشنهادی.,ظهور اتوماسیون پیامدهای ضمنی قابل توجهی برای اشتغال آینده و توزیع درآمد دارد.
264,انگیزه,چیزی که یک عمل مطلوب را تشویق می‌کند.,مشوق‌های مالیاتی می‌توانند کسب‌وکارها را به سرمایه‌گذاری در فناوری‌های انرژی تجدیدپذیر تشویق کنند.
265,نابرابری,توزیع نابرابر منابع یا فرصت‌ها.,افزایش نابرابری درآمدی یکی از فوری‌ترین چالش‌های اجتماعی عصر مدرن است.
266,اجتناب‌ناپذیر,مطمئن که اتفاق می‌افتد؛ غیرممکن برای اجتناب.,برخی اقتصاددانان استدلال می‌کنند که بیکاری فناورانه یک پیامد اجتناب‌ناپذیر اتوماسیون است.
267,تورم,افزایش کلی قیمت‌ها در طول زمان.,تورم بالا قدرت خرید را کاهش می‌دهد و به طور نامتناسبی بر خانوارهای کم‌درآمد تأثیر می‌گذارد.
268,نوآوری,معرفی ایده‌ها، روش‌ها یا محصولات جدید.,نوآوری مستمر در انرژی تجدیدپذیر برای دستیابی به اهداف پایداری جهانی ضروری است.
269,تعامل,عمل متقابل یا ارتباط بین طرفین.,تعامل رودررو برای توسعه مهارت‌های اجتماعی ضروری در کودکان حیاتی است.
270,مداخله,اقدامی که برای بهبود یا جلوگیری از وضعیتی انجام می‌شود.,مداخله زودهنگام دولت برای جلوگیری از وخیم‌تر شدن یک بحران مالی ضروری است.
271,سرمایه‌گذاری,تخصیص منابع با انتظار منفعت آینده.,سرمایه‌گذاری مستقیم خارجی نقش حیاتی در تسریع رشد اقتصادی در کشورهای در حال توسعه دارد.
272,قانون‌گذاری,قوانین یا مجموعه‌ای از قوانین تصویب شده توسط دولت.,قانون‌گذاری قوی‌تری برای محافظت از کارگران در برابر شرایط ناایمن در محیط کار لازم است.
273,سواد,توانایی خواندن، نوشتن یا استفاده از یک مهارت.,نرخ‌های بالای سواد به طور قوی با بهبود بهره‌وری اقتصادی و نتایج اجتماعی مرتبط است.
274,به حاشیه راندن,رفتار کردن با یک گروه به عنوان بی‌اهمیت یا حاشیه‌ای.,سیاست‌های اقتصادی که مناطق روستایی را نادیده می‌گیرند تمایل دارند جوامع آسیب‌پذیر را بیشتر به حاشیه برانند.
275,مکانیسم,یک سیستم یا فرآیند برای دستیابی به یک نتیجه.,مکانیسم‌های نظارتی مؤثر برای جلوگیری از شیوه‌های انحصاری در بازارهای آزاد حیاتی هستند.
276,روش‌شناسی,سیستمی از روش‌های استفاده شده در تحقیق.,نتیجه‌گیری‌های این مطالعه به دلیل نقص‌های قابل توجه در روش‌شناسی تحقیق مورد سؤال قرار گرفت.
277,مهاجرت,جابجایی مردم از یک مکان به مکان دیگر.,مهاجرت اقتصادی به مراکز شهری در بسیاری از کشورهای در حال توسعه در دهه‌های اخیر شتاب گرفته است.
278,ذهنیت,مجموعه‌ای از نگرش‌ها یا باورهای مستقر.,ذهنیت رشد دانش‌آموزان را تشویق می‌کند که اشتباهات را به عنوان فرصت‌هایی برای یادگیری ببینند.
279,تحرک,توانایی جابجایی آزادانه بین موقعیت‌ها.,آموزش به طور گسترده‌ای به عنوان عامل اصلی تحرک اجتماعی در جوامع مدرن تلقی می‌شود.
280,مرگ و میر,نرخ مرگ در یک جمعیت.,بهداشت بهتر نرخ مرگ و میر کودکان را در کشورهای در حال توسعه به طور چشمگیری کاهش داده است.
281,انگیزه,دلیل یا محرک پشت عمل یک شخص.,دانش‌آموزانی با انگیزه درونی بالا تمایل دارند از کسانی که فقط توسط پاداش‌های خارجی هدایت می‌شوند بهتر عمل کنند.
282,شهرداری,مربوط به دولت یک شهر یا شهرک.,مقامات شهرداری مسئول مدیریت جمع‌آوری زباله و سیستم‌های حمل و نقل عمومی هستند.
283,روایت,یک گزارش گفتاری یا نوشتاری از رویدادها.,رسانه‌ها نقش قدرتمندی در شکل دادن به روایت عمومی پیرامون مهاجرت دارند.
284,مذاکره کردن,رسیدن به توافق از طریق بحث.,رهبران جهان باید برای مقابله مؤثر با تغییرات آب و هوایی جهانی توافق‌نامه‌های الزام‌آور را مذاکره کنند.
285,چاقی,حالت اضافه وزن بیش از حد.,نرخ چاقی دوران کودکی در بسیاری از کشورها به دلیل عادات غذایی ناسالم به شدت افزایش یافته است.
286,تکلیف,یک وظیفه اخلاقی یا قانونی برای انجام کاری.,کشورهای ثروتمند یک تکلیف اخلاقی برای کمک به کشورهایی که بیشترین تأثیر را از تغییرات آب و هوایی می‌پذیرند دارند.
287,مانع,چیزی که پیشرفت یا دستیابی را مسدود می‌کند.,کمبود بودجه مانع قابل توجهی برای اصلاح آموزشی در بسیاری از کشورها باقی می‌ماند.
288,مخالفت,مقاومت یا تعارض در برابر چیزی.,گسترش پیشنهادی جاده با مخالفت شدید از سوی گروه‌های محیط زیستی محلی روبرو شده است.
289,ارگانیک,تولید شده بدون مواد شیمیایی مصنوعی؛ به طور طبیعی رخ داده.,تقاضا برای غذای ارگانیک با آگاه‌تر شدن مصرف‌کنندگان نسبت به سلامت به طور قابل توجهی رشد کرده است.
290,ازدحام,تعداد زیادی از مردم در فضای محدود.,شهرنشینی سریع منجر به ازدحام شدید در شهرهای بزرگ در سراسر جهان در حال توسعه شده است.
291,همه‌گیری جهانی,بیماری‌ای که در سراسر کشورهای جهان گسترش می‌یابد.,همه‌گیری جهانی کووید-۱۹ نقاط ضعف حیاتی در زیرساخت بهداشت عمومی جهانی را آشکار کرد.
292,جریمه,مجازاتی برای نقض یک قانون یا مقررات.,معرفی جریمه‌های مالی سنگین‌تر برای آلودگی ممکن است صنایع را از تخلفات زیست‌محیطی بازدارد.
293,ادراک,یک باور یا تفسیر از چیزی.,درک عمومی از مهاجرت اغلب توسط پوشش رسانه‌ای شکل می‌گیرد تا شواهد آماری.
294,دیدگاه,یک نقطه نظر یا شیوه خاص دیدن چیزها.,بررسی موضوع از دیدگاه کسانی که مستقیماً تحت تأثیر قرار گرفته‌اند ضروری است.
295,پدیده,یک واقعیت یا رویداد قابل مشاهده، اغلب قابل توجه.,شهرنشینی یک پدیده جهانی است که هم فرصت‌ها و هم چالش‌های قابل توجهی ارائه می‌دهد.
296,فقر,حالت بسیار فقیر بودن.,ریشه‌کن کردن فقر شدید یکی از مهم‌ترین اهداف توسعه بین‌الملل باقی می‌ماند.
297,تعصب,یک عقیده ناعادلانه که بر اساس دلیل نیست.,مبارزه با تعصب نژادی نیازمند اصلاح قانونی و ابتکارات آموزشی گسترده است.
298,اولویت,چیزی که به عنوان مهم‌ترین رتبه‌بندی شده است.,بهبود دسترسی به آموزش باکیفیت باید اولویت اصلی هر دولت مسئولی باشد.
299,بهره‌وری,کارایی خروجی به ازای هر واحد ورودی.,سرمایه‌گذاری در آموزش کارکنان یکی از مؤثرترین راه‌ها برای افزایش بهره‌وری در محیط کار است.
300,مترقی,طرفدار اصلاحات و پیشرفت اجتماعی.,یک سیستم مالیاتی مترقی تضمین می‌کند که درآمدبگیران بالاتر سهم بیشتری پرداخت می‌کنند.
301,نسبت,بخشی از یک کل؛ یک نسبت مقایسه‌ای.,سهم نامتناسبی از ثروت ملی در اختیار نسبت کوچکی از جمعیت است.
302,روان‌شناختی,مربوط به ذهن و فرآیندهای ذهنی.,بیکاری می‌تواند پیامدهای روان‌شناختی جدی از جمله افسردگی و از دست دادن هویت داشته باشد.
303,رکود,دوره‌ای از کاهش قابل توجه اقتصادی.,در دوران رکود، افزایش بیکاری و کاهش مخارج مصرف‌کنندگان چرخه‌ای منفی ایجاد می‌کنند.
304,توانبخشی,فرآیند بازگرداندن سلامت یا زندگی عادی.,سرمایه‌گذاری در برنامه‌های توانبخشی نرخ تکرار جرم را مؤثرتر از زندان تنها کاهش می‌دهد.
305,تجدیدپذیر,منبعی که می‌تواند به طور طبیعی جایگزین شود.,سرمایه‌گذاری در منابع انرژی تجدیدپذیر برای کاهش وابستگی به سوخت‌های فسیلی در سطح جهانی حیاتی است.
306,محدودیت,یک قانون یا شرط که فعالیت را محدود می‌کند.,محدودیت‌های سفر اعمال شده در دوران همه‌گیری اختلال قابل توجهی در گردشگری جهانی ایجاد کرد.
307,درآمد,درآمد تولید شده توسط دولت یا کسب‌وکار.,دولت‌ها برای تأمین مالی خدمات عمومی ضروری مانند بهداشت و آموزش به درآمد مالیاتی متکی هستند.
308,انقلاب,تغییری چشمگیر و بنیادی در جامعه.,انقلاب صنعتی اقتصاد جهانی و الگوهای کار انسانی را به طور اساسی دگرگون کرد.
309,بهداشت,سیستم‌هایی برای حفظ بهداشت و مدیریت زباله.,بهداشت ناکافی در مناطق شهری پرجمعیت به گسترش بیماری‌های عفونی کمک می‌کند.
310,کمیابی,عرضه ناکافی یک منبع مورد نیاز.,کمیابی آب یکی از جدی‌ترین تهدیدات برای بقای انسان در دهه‌های آینده است.
311,شکاک,متمایل به زیر سؤال بردن یا شک به ادعاها.,بسیاری از اقتصاددانان نسبت به پایداری بلندمدت هزینه‌های فعلی دولت شکاک باقی می‌مانند.
312,تحرک اجتماعی,توانایی جابجایی بین طبقات اجتماعی.,آموزش به طور گسترده‌ای قدرتمندترین ابزار برای بهبود تحرک اجتماعی تلقی می‌شود.
313,کلیشه,یک تصویر ثابت ساده‌انگارانه از یک گروه.,بازنمایی‌های رسانه‌ای اغلب کلیشه‌های مضری درباره جوامع اقلیتی را تقویت می‌کنند.
314,محرک,چیزی که پاسخ یا فعالیتی را برمی‌انگیزد.,دولت برای احیای اقتصاد پس از رکود، یک بسته محرک بزرگ راه‌اندازی کرد.
315,حومه,یک منطقه مسکونی در حاشیه یک شهر.,رشد حومه‌ها وابستگی به خودرو را افزایش داده و به گسترش شهری کمک کرده است.
316,نظارت,مشاهده نزدیک، به خصوص توسط مقامات.,نظارت گسترده دولت‌ها نگرانی‌های جدی در مورد حریم خصوصی فردی و آزادی‌های مدنی ایجاد می‌کند.
317,مالیات‌بندی,سیستم دریافت مالیات از شهروندان.,مالیات‌بندی منصفانه و مترقی برای تأمین مالی خدمات عمومی و کاهش نابرابری ضروری است.
318,گذار,تغییر از یک حالت به حالت دیگر.,گذار سریع به انرژی تجدیدپذیر برای محدود کردن افزایش دمای جهانی ضروری است.
