id,front,back,example
178,جريمة,فعل غير قانوني يعاقب عليه القانون.,إن معالجة الأسباب الجذرية للفقر أمر ضروري للحد من معدلات الجريمة العنيفة.
179,مصيبة,وقتٌ من الصعوبة أو الخطر الشديدين.,أظهرت الأزمة المالية العالمية لعام 2008 مدى ترابط الاقتصادات الحديثة.
180,شديد الأهمية,يتضمن تحليلاً دقيقاً؛ ذو أهمية بالغة.,يُعد التفكير النقدي مهارة أساسية لتحليل القضايا المعقدة في الحياة الأكاديمية والمهنية.
181,ينقص,أن يصبح أو يصغر حجمه أو كميته.,شهد العالم انخفاضاً مطرداً في عدد الأشخاص الذين يعيشون في فقر مدقع.
182,ديمقراطية,نظام حكم يقوم على ممثلين منتخبين.,تعتمد الديمقراطية النابضة بالحياة على مواطنين مطلعين وصحافة حرة.
183,يكشف,اكتشاف أو تحديد وجود شيء ما.,يمكن لأدوات الفحص المتقدمة اكتشاف أنواع معينة من السرطان في مرحلة مبكرة وأكثر قابلية للعلاج.
184,مرض,مرض ناتج عن عدوى أو خلل وظيفي.,يتطلب منع انتشار الأمراض المعدية استثماراً كبيراً في البنية التحتية للصحة العامة.
185,محلي,متعلق بالمنزل أو بالوطن.,يمكن أن يكون لقرارات السياسة الداخلية عواقب وخيمة على مكانة الدولة الدولية.
186,السيطرة,أن يمتلك أكبر قدر من السلطة أو النفوذ على الآخرين.,تهيمن مجموعة صغيرة من الشركات متعددة الجنسيات على التجارة العالمية في إنتاج الغذاء.
187,اقتصاد,نظام الإنتاج والاستهلاك في بلد ما.,يؤدي تنويع الاقتصاد الوطني إلى تقليل تعرض الدولة لصدمات أسعار السلع الأساسية.
188,انبعاثات,إنتاج الغاز وإطلاقه في الغلاف الجوي.,يُعد خفض انبعاثات الكربون أمراً محورياً في الجهود الدولية الرامية إلى معالجة تغير المناخ.
189,فرض,لإجبار الناس على الامتثال لقانون أو قاعدة.,بدون موارد كافية، لا تستطيع الحكومات إنفاذ قوانين حماية البيئة بشكل فعال.
190,تعريف,التعرف على هوية شيء ما أو تحديدها.,تهدف الدراسة إلى تحديد العوامل الرئيسية التي تساهم في ارتفاع مستويات بطالة الشباب.
191,يراقب,أن تراقب بعناية أو تلاحظ شيئاً ما.,يراقب العلماء سلوك الحيوانات في بيئاتها الطبيعية لفهم النظم البيئية بشكل أفضل.
192,فئة,فئة أو مجموعة من الأشياء ذات صفات مشتركة.,يقسم التقرير النفايات إلى ثلاث فئات رئيسية: قابلة لإعادة التدوير، وعضوية، وخطرة.
193,مبدأ,حقيقة أو قاعدة أساسية توجه السلوك.,إن مبدأ المساواة هو أساس القانون الدولي لحقوق الإنسان والحكم الديمقراطي.
194,انشر,إتاحة المعلومات أو الأعمال للجمهور.,يجب على الباحثين نشر نتائج أبحاثهم في مجلات علمية موثوقة للمساهمة في المعرفة العلمية.
195,ابتكر,لتقديم أفكار أو أساليب جديدة.,الشركات التي تفشل في الابتكار تخاطر بأن تتفوق عليها الشركات المنافسة الأكثر مرونة في السوق.
196,دمج,دمج أو دمج الأجزاء في الكل.,هناك حاجة إلى سياسات فعالة لمساعدة اللاجئين على الاندماج في مجتمعاتهم المضيفة.
197,تخصيص,توزيع الموارد لغرض محدد.,يجب على الحكومات تخصيص أموال كافية للحفاظ على خدمات الصحة العامة وتحسينها.
198,تنسيق,تنظيم الأفراد أو المجموعات للعمل معًا.,يتعين على الوكالات الدولية تنسيق جهودها في مجال الإغاثة من الكوارث لتحقيق أقصى قدر من الفعالية.
199,مناظرة,مناقشة رسمية لوجهات النظر المتعارضة.,هناك نقاش مستمر بين الاقتصاديين حول الآثار طويلة المدى للعولمة على عدم المساواة.
200,يفضح,أن يكشف أو يترك شيئًا ما دون حماية.,قد يطور الأطفال الذين يتعرضون للعنف في وسائل الإعلام مواقف غير حساسة تجاه الأذى.
201,تسارع,لزيادة السرعة أو المعدل.,لقد ساهم الابتكار التكنولوجي في تسريع النمو الاقتصادي في العديد من الدول النامية.
202,يستوعب,لتوفير مساحة أو التكيف مع الاحتياجات.,يتعين على المدن توسيع بنيتها التحتية لاستيعاب النمو السكاني المتزايد في المناطق الحضرية.
203,تراكم,أن يتراكم أو يتراكم تدريجياً مع مرور الوقت.,تميل الأسر في الدول المتقدمة إلى تراكم ثروة أكبر على مر الأجيال.
204,يُقرّ,الاعتراف بوجود شيء ما أو الإقرار به.,يجب على الحكومات أن تعترف بدور الفقر في تفاقم عدم المساواة الاجتماعية.
205,اكتساب,فعل الحصول على شيء ما أو اكتسابه.,يُعد اكتساب اللغة في سن مبكرة أمراً بالغ الأهمية لنجاح الطفل الأكاديمي على المدى الطويل.
206,الآثار الجانبية,ضار أو غير مواتٍ في تأثيره.,التعرض المطول للتلوث يمكن أن يكون له آثار سلبية على الصحة العامة.
207,يدافع عن,دعم قضية أو سياسة ما علنًا.,يدعو العديد من التربويين إلى تقليل عدد الطلاب في الفصول الدراسية لتحسين نتائج التعلم.
208,تخفيف,لتخفيف حدة المعاناة أو المشكلة.,تهدف برامج المساعدات الخارجية إلى التخفيف من حدة الفقر في أقل دول العالم نمواً.
209,طموح,امتلاك رغبة قوية في تحقيق أهداف صعبة.,وضعت الحكومة هدفاً طموحاً يتمثل في خفض انبعاثات الكربون بنسبة 50% بحلول عام 2030.
210,أسهب,لزيادة قوة أو تأثير شيء ما.,يمكن لوسائل التواصل الاجتماعي أن تضخم الخطاب العام، ولكنها أيضاً تنشر المعلومات المضللة بسرعة.
211,يتوقع,أن تتوقع أو تتنبأ بشيء ما قبل حدوثه.,يجب على صانعي السياسات توقع التحولات الديموغرافية المستقبلية عند التخطيط للخدمات العامة.
212,واضح,واضح أو جليّ؛ يبدو صحيحاً.,من الواضح أن فرص الحصول على تعليم جيد لا تزال غير متساوية بين الطبقات الاجتماعية.
213,يصف,اعتبار شيء ما ناتجاً عن عامل ما.,يعزو الباحثون ارتفاع معدلات السمنة إلى حد كبير إلى سوء العادات الغذائية وقلة النشاط البدني.
214,ذاتي القيادة,العمل بشكل مستقل دون سيطرة خارجية.,من المتوقع أن تُحدث المركبات ذاتية القيادة تحولاً جذرياً في صناعة النقل العالمية.
215,التنوع البيولوجي,تنوع الحياة النباتية والحيوانية في بيئة معينة.,تشكل إزالة الغابات تهديداً كبيراً للتنوع البيولوجي في الغابات الاستوائية المطيرة.
216,حرج,حمل ثقيل أو مسؤولية كبيرة؛ تحميل زائد.,تُشكل تكاليف الرعاية الصحية المتزايدة عبئاً كبيراً على الأفراد والحكومات على حد سواء.
217,سعة,أقصى كمية يمكن أن يحملها شيء ما أو يفعلها.,يتعين على الدول النامية بناء قدراتها المؤسسية للتصدي لتغير المناخ بفعالية.
218,البصمة الكربونية,إجمالي غازات الاحتباس الحراري التي ينتجها كيان ما.,يمكن للأفراد تقليل بصمتهم الكربونية بشكل كبير من خلال اتباع نظام غذائي نباتي.
219,مزمن,يستمر لفترة طويلة؛ ويتكرر باستمرار.,تساهم البطالة المزمنة في المناطق الريفية في انتشار الفقر والإقصاء الاجتماعي.
220,مدني,يتعلق الأمر بالمواطنين ومسؤولياتهم.,تُعد المشاركة المدنية ضرورية للحفاظ على ديمقراطية سليمة وفعالة.
221,تعاون,العمل بشكل مشترك مع الآخرين لتحقيق هدف ما.,يُعد التعاون الدولي ضرورياً لمواجهة التحديات العالمية مثل تغير المناخ.
222,كفاءة,القدرة على القيام بشيء ما بفعالية.,يُولي أصحاب العمل أهمية متزايدة للكفاءة الرقمية إلى جانب المؤهلات الأكاديمية التقليدية.
223,امتثال,الامتثال للقواعد أو المعايير أو القوانين.,يُعدّ الالتزام الصارم باللوائح البيئية أمراً ضرورياً للتنمية الصناعية المستدامة.
224,شامل,يشمل جميع الجوانب؛ شامل وكامل.,يجب أن يتناول النهج الشامل للصحة العامة كلاً من الوقاية والعلاج.
225,قيد,قيد أو تقييد على الفعل.,غالباً ما تمنع القيود المفروضة على الميزانية الحكومات من الاستثمار بشكل كافٍ في البنية التحتية العامة.
226,استهلاك,استخدام السلع أو الموارد أو الطاقة.,يُعد خفض استهلاك الطاقة استراتيجية رئيسية لمكافحة تغير المناخ على مستوى العالم.
227,معاصر,موجود أو يحدث في الوقت الحاضر.,يواجه المجتمع المعاصر تحديات غير مسبوقة تتعلق بالتكنولوجيا الرقمية والخصوصية.
228,جدلي,إثارة خلاف أو جدل حاد.,لا يزال استخدام الطاقة النووية موضوعاً مثيراً للجدل للغاية في النقاشات البيئية.
229,الارتباط,لإظهار علاقة متبادلة بين شيئين.,تشير الأبحاث إلى أن مستويات التعليم العالي ترتبط ارتباطاً وثيقاً بنتائج اقتصادية أفضل.
230,مقرر,المواد التي تُدرّس في مدرسة أو دورة تدريبية.,يرى العديد من التربويين أن المنهج الوطني يجب أن يتضمن المزيد من مهارات التفكير النقدي.
231,إزالة الغابات,إزالة الغابات على نطاق واسع من قبل البشر.,إن إزالة الغابات في منطقة الأمازون مدفوعة إلى حد كبير بالتوسع الزراعي وتربية الماشية.
232,التركيبة السكانية,بيانات إحصائية تتعلق بمجموعة سكانية.,ستؤدي التحولات الديموغرافية نحو شيخوخة السكان إلى وضع ضغط كبير على أنظمة المعاشات التقاعدية.
233,استنزاف,لتقليل أو استنفاد مخزون شيء ما.,يستمر الصيد الجائر في استنزاف الموارد البحرية بمعدل ينذر بالخطر وغير مستدام.
234,تدهور,أن تتدهور الجودة تدريجياً.,بدون تدخل عاجل، ستستمر الظروف البيئية في المناطق الحضرية بالتدهور.
235,رقميًا,يتعلق الأمر بتكنولوجيا الحاسوب والإنترنت.,إن الفجوة الرقمية بين الدول الغنية والفقيرة تُنذر بتفاقم عدم المساواة العالمية بشكل أكبر.
236,يتضاءل,أن يصبح أصغر أو أقل أهمية.,قد يؤدي التشغيل الآلي إلى تقليل الطلب على العمالة منخفضة المهارة في قطاعات التصنيع.
237,تناقض,فرق بين أشياء يفترض أن تكون متطابقة.,هناك تباين ملحوظ بين الأهداف المعلنة للحكومة وسياساتها الفعلية.
238,تمييز,معاملة غير عادلة بناءً على الانتماء الجماعي.,لا يزال التمييز ضد المرأة في مكان العمل يشكل عائقاً كبيراً أمام المساواة بين الجنسين.
239,التفاوت,فرق كبير بين الأشياء أو المجموعات.,إن التفاوت المتزايد في الثروة بين أغنى المواطنين وأفقرهم يهدد التماسك الاجتماعي.
240,النزوح,إجلاء الناس قسراً من منازلهم.,تسبب النزاع المسلح في نزوح ملايين الأشخاص في جميع أنحاء الشرق الأوسط.
241,خلل,اضطراب يعيق النشاط الطبيعي.,لقد تسبب الابتكار الرقمي في اضطراب واسع النطاق في نماذج الأعمال والصناعات التقليدية.
242,مسيطر,الأقوى أو الأهم أو الأكثر نفوذاً.,أصبحت اللغة الإنجليزية اللغة المهيمنة في مجال الأعمال الدولية والبحث الأكاديمي.
243,جفاف,فترة طويلة من انخفاض معدل هطول الأمطار بشكل غير طبيعي.,أدى الجفاف الممتد في أفريقيا جنوب الصحراء الكبرى إلى تدمير الإنتاج الزراعي والأمن الغذائي.
244,بيئي,يتعلق بالعلاقة بين الكائنات الحية والبيئة.,تسببت ممارسات الزراعة الصناعية في أضرار بيئية جسيمة للتربة والمجاري المائية.
245,توكيد,يُعطى شيء ما أهمية خاصة.,هناك تركيز متزايد على تطوير المهارات الشخصية في المناهج التعليمية الحديثة.
246,وباء,انتشار واسع النطاق للمرض في منطقة ما.,يرتبط وباء السمنة في الدول الغنية بأنماط الحياة الخاملة وسوء التغذية.
247,المساواة,حالة التمتع بحقوق وفرص متساوية.,إن تحقيق المساواة بين الجنسين في مكان العمل يتطلب إصلاحات تشريعية وتغييراً ثقافياً.
248,أخلاقي,يتعلق بالمبادئ الأخلاقية والسلوك القويم.,يثير استخدام الذكاء الاصطناعي تساؤلات أخلاقية هامة حول الخصوصية والمساءلة.
249,المصروفات,المبلغ المالي الذي يُنفق على شيء ما.,يمكن أن يؤدي زيادة الإنفاق الحكومي على التعليم إلى تحقيق فوائد اقتصادية كبيرة على المدى الطويل.
250,يستغل,الاستخدام غير العادل أو استغلال الموارد.,تعرضت الشركات متعددة الجنسيات لانتقادات بسبب استغلالها للعمالة الرخيصة في البلدان النامية.
251,الانقراض,نهاية وجود نوع ما بشكل كامل.,إن النشاط البشري يدفع العديد من أنواع النباتات والحيوانات نحو الانقراض السريع.
252,يسهل,لتسهيل إجراء أو عملية ما.,يمكن للبنية التحتية المحسّنة للنقل أن تسهل التجارة وتعزز التنمية الاقتصادية بشكل كبير.
253,المالية,يتعلق الأمر بإيرادات الحكومة والضرائب.,يتعين على الحكومات تبني سياسات مالية حكيمة لتجنب تراكم الدين الوطني المفرط.
254,مرن,قادر على التكيف بسهولة مع الظروف المتغيرة.,لقد ثبت أن ترتيبات العمل المرنة تُحسّن من رفاهية الموظفين وإنتاجيتهم.
255,الوقود الأحفوري,مصدر طاقة يتكون من مواد عضوية قديمة.,يُعد استمرار حرق الوقود الأحفوري المحرك الرئيسي لتغير المناخ العالمي.
256,قابل للكسر,سهل الكسر أو التلف؛ هش وضعيف.,تتمتع الدول الجزرية الصغيرة بنظم بيئية هشة بشكل خاص، وهي مهددة بارتفاع منسوب مياه البحر.
257,نطاق,هيكل أو نظام أساسي لتوجيه العمل.,هناك حاجة إلى إطار قانوني واضح لتنظيم استخدام الذكاء الاصطناعي بشكل أخلاقي.
258,أساسي,تشكيل أساس أو جوهر أساسي.,يُعد الحصول على المياه النظيفة حقاً أساسياً من حقوق الإنسان، ولا يزال الكثير من الناس يفتقرون إليه.
259,العولمة,زيادة التكامل الاقتصادي والثقافي على مستوى العالم.,لقد خلقت العولمة فرصاً جديدة للتجارة، ولكنها زادت أيضاً من المنافسة الاقتصادية.
260,الرعاية الصحية,توفير الخدمات الطبية للناس بشكل منظم.,تضمن الرعاية الصحية الشاملة حصول جميع المواطنين على العلاج الطبي بغض النظر عن دخلهم.
261,فرضية,تفسير مقترح يتطلب مزيدًا من الاختبار.,اقترح الباحث فرضية مفادها أن النظام الغذائي يؤثر بشكل مباشر على التطور المعرفي لدى الأطفال.
262,تطابق,متطابقة تماماً في كل التفاصيل.,توصلت الدراسة إلى نتائج متطابقة تقريباً بين مجموعتين بخلفيات تعليمية مختلفة.
263,التداعيات,نتيجة محتملة أو معنى مقترح.,إن صعود الأتمتة له آثار كبيرة على التوظيف وتوزيع الدخل في المستقبل.
264,حافز,شيء يشجع على القيام بفعل مرغوب فيه.,يمكن للحوافز الضريبية أن تشجع الشركات على الاستثمار في تقنيات الطاقة المتجددة.
265,عدم المساواة,التوزيع غير المتكافئ للموارد أو الفرص.,يُعدّ تزايد عدم المساواة في الدخل أحد أكثر التحديات الاجتماعية إلحاحاً في العصر الحديث.
266,حتمي,أمرٌ حتمي؛ من المستحيل تجنبه.,يرى بعض الاقتصاديين أن البطالة التكنولوجية هي نتيجة حتمية للأتمتة.
267,تضخم اقتصادي,ارتفاع عام في الأسعار مع مرور الوقت.,يؤدي التضخم المرتفع إلى تآكل القدرة الشرائية ويؤثر بشكل غير متناسب على الأسر ذات الدخل المنخفض.
268,ابتكار,تقديم أفكار أو أساليب أو منتجات جديدة.,يُعد الابتكار المستمر في مجال الطاقة المتجددة أمراً ضرورياً لتحقيق أهداف الاستدامة العالمية.
269,تفاعل,العمل المتبادل أو التواصل بين الأطراف.,يُعد التفاعل المباشر وجهاً لوجه أمراً حيوياً لتطوير المهارات الاجتماعية الأساسية لدى الأطفال الصغار.
270,تدخل,الإجراءات المتخذة لتحسين الوضع أو منعه.,يُعد التدخل الحكومي المبكر أمراً ضرورياً لمنع تفاقم الأزمة المالية.
271,استثمار,تخصيص الموارد توقعاً لتحقيق منفعة مستقبلية.,يلعب الاستثمار الأجنبي المباشر دوراً حاسماً في تسريع النمو الاقتصادي في الدول النامية.
272,تشريع,القوانين أو مجموعة القوانين التي تسنها الحكومة.,هناك حاجة إلى تشريعات أقوى لحماية العمال من الظروف غير الآمنة في مكان العمل.
273,معرفة القراءة والكتابة,القدرة على القراءة أو الكتابة أو استخدام مهارة ما.,ترتبط معدلات الإلمام بالقراءة والكتابة المرتفعة ارتباطاً وثيقاً بتحسين الإنتاجية الاقتصادية والنتائج الاجتماعية.
274,تهميش,معاملة مجموعة ما على أنها غير مهمة أو هامشية.,إن السياسات الاقتصادية التي تتجاهل المناطق الريفية تميل إلى زيادة تهميش المجتمعات الضعيفة أصلاً.
275,آلية,نظام أو عملية لتحقيق نتيجة.,تُعد الآليات التنظيمية الفعالة ضرورية لمنع الممارسات الاحتكارية في الأسواق الحرة.
276,المنهجية,نظام من الأساليب المستخدمة في البحث.,تم التشكيك في استنتاجات الدراسة بسبب وجود عيوب كبيرة في منهجية البحث.
277,الهجرة,انتقال الناس من مكان إلى آخر.,تسارعت الهجرة الاقتصادية إلى المراكز الحضرية في العديد من البلدان النامية في العقود الأخيرة.
278,عقلية,مجموعة راسخة من المواقف أو المعتقدات.,تشجع عقلية النمو الطلاب على النظر إلى الأخطاء على أنها فرص للتعلم.
279,التنقل,القدرة على التنقل بحرية بين المواقع.,يُعتبر التعليم على نطاق واسع المحرك الرئيسي للحراك الاجتماعي في المجتمعات الحديثة.
280,معدل الوفيات,معدل الوفيات في مجتمع ما.,لقد ساهم تحسين الصرف الصحي بشكل كبير في خفض معدلات وفيات الأطفال في البلدان النامية.
281,تحفيز,السبب أو الدافع وراء فعل الشخص.,يميل الطلاب ذوو الدافعية الذاتية العالية إلى التفوق على أولئك الذين تحركهم المكافآت الخارجية فقط.
282,البلدية,متعلق بحكومة بلدة أو مدينة.,تتولى السلطات البلدية مسؤولية إدارة أنظمة جمع النفايات والنقل العام.
283,رواية,سرد شفهي أو كتابي للأحداث.,تلعب وسائل الإعلام دوراً مؤثراً في تشكيل الخطاب العام حول الهجرة.
284,التفاوض,للتوصل إلى اتفاق من خلال المناقشة.,يجب على قادة العالم التفاوض على اتفاقيات ملزمة لمعالجة تغير المناخ العالمي بشكل فعال.
285,بدانة,حالة زيادة الوزن المفرطة.,ارتفعت معدلات السمنة لدى الأطفال بشكل حاد في العديد من البلدان بسبب العادات الغذائية غير الصحية.
286,فرض,واجب أخلاقي أو قانوني للقيام بشيء ما.,تقع على عاتق الدول الغنية مسؤولية أخلاقية لمساعدة الدول الأكثر تضرراً من تغير المناخ.
287,عقبة,شيء يعيق التقدم أو الإنجاز.,لا يزال نقص التمويل يشكل عائقاً كبيراً أمام الإصلاح التعليمي في العديد من الدول.
288,المعارضة,المقاومة أو الصراع ضد شيء ما.,وقد لاقى اقتراح توسيع الطريق معارضة شديدة من الجماعات البيئية المحلية.
289,عضوي,منتج بدون مواد كيميائية اصطناعية؛ موجود بشكل طبيعي.,ازداد الطلب على الأغذية العضوية بشكل ملحوظ مع ازدياد وعي المستهلكين بصحتهم.
290,اكتظاظ,عدد كبير جداً من الناس في مساحة محدودة.,أدى التوسع الحضري السريع إلى اكتظاظ شديد في المدن الكبرى في جميع أنحاء العالم النامي.
291,جائحة,مرض ينتشر في جميع أنحاء العالم.,كشفت جائحة كوفيد-19 عن نقاط ضعف خطيرة في البنية التحتية للصحة العامة العالمية.
292,جزاء,عقوبة لخرق قاعدة أو قانون.,قد يؤدي فرض عقوبات مالية أشد على التلوث إلى ردع الصناعات عن ارتكاب انتهاكات بيئية.
293,تصور,اعتقاد أو تفسير لشيء ما.,غالباً ما يتشكل التصور العام للهجرة من خلال التغطية الإعلامية بدلاً من الأدلة الإحصائية.
294,وجهة نظر,وجهة نظر معينة أو طريقة معينة لرؤية الأشياء.,من الضروري النظر في هذه المسألة من منظور أولئك الأكثر تضرراً بشكل مباشر.
295,ظاهرة,حقيقة أو حدث يمكن ملاحظته، وغالبًا ما يكون لافتًا للنظر.,إن التوسع الحضري ظاهرة عالمية تنطوي على فرص وتحديات كبيرة.
296,فقر,حالة الفقر المدقع.,لا يزال القضاء على الفقر المدقع أحد أهم أهداف التنمية الدولية.
297,إجحاف,رأي غير عادل لا يستند إلى المنطق.,إن مكافحة التحيز العنصري تتطلب إصلاحات قانونية ومبادرات تعليمية واسعة النطاق.
298,أولوية,شيء مصنف على أنه الأكثر أهمية.,ينبغي أن يكون تحسين فرص الحصول على تعليم جيد على رأس أولويات أي حكومة مسؤولة.
299,إنتاجية,كفاءة الإنتاج لكل وحدة من المدخلات.,يُعد الاستثمار في تدريب الموظفين أحد أكثر الطرق فعالية لتعزيز إنتاجية مكان العمل.
300,تقدمي,تفضيل الإصلاح والتقدم الاجتماعي.,يضمن النظام الضريبي التصاعدي أن يساهم أصحاب الدخل الأعلى بنسبة أكبر.
301,حَجم,جزء من الكل؛ نسبة مقارنة.,يمتلك جزء صغير من السكان حصة غير متناسبة من الثروة الوطنية.
302,نفسياً,يتعلق بالعقل والعمليات العقلية.,يمكن أن يكون للبطالة عواقب نفسية خطيرة، بما في ذلك الاكتئاب وفقدان الهوية.
303,ركود,فترة من التراجع الاقتصادي الكبير.,خلال فترة الركود الاقتصادي، يؤدي ارتفاع معدلات البطالة وانخفاض الإنفاق الاستهلاكي إلى خلق حلقة سلبية.
304,إعادة التأهيل,عملية استعادة الصحة أو الحياة الطبيعية.,إن الاستثمار في برامج إعادة التأهيل يقلل من معدلات العودة إلى الإجرام بشكل أكثر فعالية من السجن وحده.
305,متجدد,مورد يمكن تجديده بشكل طبيعي.,يُعد الاستثمار في مصادر الطاقة المتجددة أمراً حيوياً للحد من الاعتماد على الوقود الأحفوري على مستوى العالم.
306,تقييد,قاعدة أو شرط يحد من النشاط.,تسببت قيود السفر المفروضة خلال فترة الجائحة في اضطراب كبير في السياحة العالمية.
307,ربح,الدخل الناتج عن الحكومة أو الشركات.,تعتمد الحكومات على عائدات الضرائب لتمويل الخدمات العامة الأساسية مثل الرعاية الصحية والتعليم.
308,ثورة,تغيير جذري وأساسي في المجتمع.,أحدثت الثورة الصناعية تحولاً جذرياً في الاقتصاد العالمي وأنماط العمل البشري.
309,الصرف الصحي,أنظمة للحفاظ على النظافة وإدارة النفايات.,يساهم عدم كفاية خدمات الصرف الصحي في المناطق الحضرية ذات الكثافة السكانية العالية في انتشار الأمراض المعدية.
310,الندرة,نقص في إمدادات الموارد الضرورية.,يشكل نقص المياه أحد أخطر التهديدات لبقاء الإنسان في العقود القادمة.
311,متشكك,يميل إلى التشكيك في الادعاءات أو التساؤل عنها.,لا يزال العديد من الاقتصاديين متشككين بشأن استدامة الإنفاق الحكومي الحالي على المدى الطويل.
312,الحراك الاجتماعي,القدرة على الانتقال بين الطبقات الاجتماعية.,يُعتبر التعليم على نطاق واسع الأداة الأقوى لتحسين الحراك الاجتماعي.
313,النمطية,صورة ثابتة ومبسطة للغاية لمجموعة ما.,غالباً ما تعزز الصور النمطية الضارة عن مجتمعات الأقليات من خلال وسائل الإعلام.
314,المحفز,شيء يثير رد فعل أو نشاطاً.,أطلقت الحكومة حزمة تحفيزية ضخمة لإنعاش الاقتصاد بعد الركود.
315,ضاحية,منطقة سكنية تقع على أطراف المدينة.,أدى نمو الضواحي إلى زيادة الاعتماد على السيارات وساهم في التوسع العمراني العشوائي.
316,مراقبة,مراقبة دقيقة، وخاصة من قبل السلطات.,تثير المراقبة الجماعية التي تقوم بها الحكومات مخاوف جدية بشأن خصوصية الأفراد والحريات المدنية.
317,الضرائب,نظام فرض الضرائب على المواطنين.,تعتبر الضرائب العادلة والتصاعدية ضرورية لتمويل الخدمات العامة والحد من عدم المساواة.
318,انتقال,تغيير من حالة إلى أخرى.,يُعدّ الانتقال السريع إلى الطاقة المتجددة أمراً ضرورياً للحد من ارتفاع درجة حرارة الأرض.
319,الشفافية,الانفتاح والوضوح في العمليات أو الحوكمة.,يمكن أن تساعد زيادة الشفافية في الإنفاق الحكومي على الحد من الفساد وبناء ثقة الجمهور.
320,البطالة,حالة عدم وجود عمل مدفوع الأجر.,تشكل البطالة الهيكلية الناجمة عن الأتمتة تحدياً كبيراً للحكومات في جميع أنحاء العالم.
321,التوسع الحضري,تزايد نسبة السكان الذين يعيشون في المدن.,أدى التوسع الحضري السريع في آسيا إلى ظهور مدن عملاقة، ولكنه أدى أيضاً إلى ظهور تحديات خطيرة في البنية التحتية.
322,تلقيح,علاج يوفر مناعة ضد الأمراض.,لقد نجحت برامج التطعيم الجماعي في القضاء على أمراض مثل الجدري والسيطرة على شلل الأطفال على مستوى العالم.
323,تطوعي,تم ذلك طواعيةً دون إكراه خارجي.,تلعب منظمات القطاع التطوعي دوراً حاسماً في دعم الفئات الضعيفة في المجتمع.
324,وهن,التعرض للأذى أو الصعوبة.,تواجه الدول الجزرية الصغيرة ضعفاً شديداً أمام عواقب ارتفاع منسوب مياه البحر.
325,واسع الانتشار,موجود أو منتشر على مساحة واسعة.,أدى الانتشار الواسع للإنترنت إلى تغيير جذري في الاتصالات والوصول إلى المعلومات على مستوى العالم.
326,القوى العاملة,جميع الأشخاص المتاحين للعمل.,تشكل القوى العاملة المسنة تحديات كبيرة لأنظمة التقاعد في الدول المتقدمة.
327,أَثْمَر,إنتاج أو توفير نتيجة أو محصول.,ساهمت التقنيات الزراعية المحسنة في مساعدة المزارعين على إنتاج محاصيل أكبر في المناطق المعرضة للجفاف.
328,تفاقم,لتفاقم المشكلة أو الوضع.,من المتوقع أن يؤدي تغير المناخ إلى تفاقم تحديات الأمن الغذائي القائمة في المناطق المعرضة للخطر.
329,توزيع,توزيع الموارد لغرض محدد.,يُعدّ التخصيص الفعال للأموال العامة أمراً ضرورياً لتحسين نتائج الرعاية الصحية الوطنية.
330,اندماج,عملية دمج الأجزاء لتكوين الكل.,يتطلب الاندماج الاجتماعي الناجح للمهاجرين الاستثمار في تعليم اللغة ودعم المجتمع.
331,المساءلة,المسؤولية عن أفعال المرء وقراراته.,تُعد زيادة المساءلة في المؤسسات العامة أمراً ضرورياً للحفاظ على ثقة المواطنين في الحكومة.
332,تكيفي,قادر على التكيف مع الظروف الجديدة.,تتيح استراتيجيات الإدارة التكيفية للمؤسسات الاستجابة بفعالية للبيئات المتغيرة بسرعة.
333,تفاقم,لجعل المشكلة أو الموقف أكثر خطورة.,قد يؤدي عدم كفاية استجابة الحكومة إلى تفاقم العواقب الاجتماعية للركود الاقتصادي.
334,من صنع الإنسان,ناتج عن النشاط البشري أو متسبب فيه.,يتفق العلماء على أن انبعاثات غازات الدفيئة الناتجة عن الأنشطة البشرية هي المحرك الرئيسي للاحتباس الحراري.
335,الاستيعاب,اندماج مجموعة ما في ثقافة مهيمنة.,وقد أدانت منظمات حقوق الإنسان على نطاق واسع عمليات الاستيعاب الثقافي القسري للشعوب الأصلية.
336,التقشف,تخفيضات حادة في الإنفاق الحكومي لخفض الدين.,أدت إجراءات التقشف التي فُرضت بعد الأزمة المالية إلى تخفيضات حادة في الخدمات العامة.
337,الأتمتة,استخدام التكنولوجيا لأداء المهام تلقائيًا.,لقد أدى أتمتة عمليات التصنيع إلى تقليل الحاجة إلى العمالة غير الماهرة بشكل كبير.
338,قابل للتحلل الحيوي,قابلة للتحلل بواسطة الكائنات الحية الطبيعية.,يُعد استبدال البلاستيك بالتغليف القابل للتحلل الحيوي خطوة أساسية نحو الحد من التلوث البيئي.
339,البيروقراطية,نظام معقد من القواعد والإجراءات الرسمية.,يمكن أن يؤدي الإفراط في البيروقراطية في المؤسسات العامة إلى إعاقة تقديم الخدمات الأساسية بكفاءة.
340,المحفز,شيء يحفز أو يسرع عملية ما.,شكل الوباء حافزاً لانتشار ممارسات العمل عن بعد على نطاق واسع عالمياً.
341,المشاركة المدنية,المشاركة الفعالة في الحياة المجتمعية والسياسية.,يشكل انخفاض مستوى المشاركة المدنية بين الشباب تهديداً كبيراً للحكم الديمقراطي.
342,التعايش,التعايش بسلام رغم الاختلافات.,إن تحقيق التعايش السلمي بين المجتمعات العرقية المتنوعة يتطلب الاحترام والتفاهم المتبادلين.
