id,front,back,example
169,TOPLAMAK,Öğeleri veya bilgileri bir araya getirmek.,"Araştırmacılar, istatistiksel güvenilirliği sağlamak için binlerce katılımcıdan veri toplar."
170,işlemek,Bir eylem biçimine kendini adamak veya söz vermek.,"Ülkeler, sera gazı emisyonlarını önemli ölçüde azaltmak için bağlayıcı anlaşmalara varmalıdır."
171,iletişim,Bilgiyi etkili bir şekilde paylaşmak veya alışverişinde bulunmak.,Akademik ve profesyonel yaşamda açık ve ikna edici bir şekilde iletişim kurma yeteneği çok önemlidir.
172,rekabet etmek,Aynı hedef için başkalarıyla rekabet etmek.,Küresel ekonomide etkin bir şekilde rekabet edebilmek için ülkeler eğitime ve inovasyona yatırım yapmalıdır.
173,anlaşmazlık,Ciddi bir anlaşmazlık veya uzun süren bir mücadele.,"Silahlı çatışmalar, dünyanın çeşitli bölgelerinde milyonlarca insanın yerinden edilmesine neden olmaya devam ediyor."
174,sözleşme,Taraflar arasında yapılan resmi bir yasal anlaşma.,"Çalışanlar, herhangi bir belgeyi imzalamadan önce iş sözleşmesini her zaman dikkatlice okumalıdır."
175,başa çıkmak,Zor bir durumla etkili bir şekilde başa çıkmak.,"Birçok topluluk, doğal afetlerin sıklığının artmasıyla başa çıkmakta zorlanıyor."
176,yozlaşmış,Dürüst olmayan veya kazanç elde etmek için etik dışı davranmaya istekli.,"Kamu kaynaklarını kötüye kullanan yolsuz yetkililer, vatandaşların hükümete duyduğu güveni zedeliyor."
177,maliyet,Bir şeyi satın almak veya yapmak için gereken miktar.,"Yaşam maliyetindeki artış, düşük gelirli ailelerin konut edinmesini giderek zorlaştırıyor."
178,suç,Kanunla cezalandırılan yasadışı bir eylem.,"Yoksulluğun temel nedenlerine çözüm bulmak, şiddet içeren suç oranlarını azaltmak için şarttır."
179,kriz,Yoğun zorluk veya tehlike dönemi.,"2008 küresel finans krizi, modern ekonomilerin ne kadar birbirine bağlı hale geldiğini gösterdi."
180,kritik,Dikkatli analiz gerektiren; büyük önem taşıyan.,"Eleştirel düşünme, akademik ve profesyonel yaşamda karmaşık sorunları analiz etmek için olmazsa olmaz bir beceridir."
181,azaltmak,Boyut veya miktar olarak küçülmek veya azalmak.,Dünya genelinde aşırı yoksulluk içinde yaşayan insan sayısında istikrarlı bir azalma gözlemlenmektedir.
182,demokrasi,Seçilmiş temsilciler tarafından yönetilen bir hükümet sistemi.,"Canlı bir demokrasi, iyi bilgilendirilmiş bir yurttaş kitlesine ve özgür bir basına bağlıdır."
183,tespit etmek,Bir şeyin varlığını keşfetmek veya tespit etmek.,"Gelişmiş tarama araçları, bazı kanser türlerini erken ve daha kolay tedavi edilebilir bir aşamada tespit edebiliyor."
184,hastalık,Enfeksiyon veya işlev bozukluğundan kaynaklanan bir hastalık.,"Bulaşıcı hastalıkların yayılmasını önlemek, halk sağlığı altyapısına önemli yatırımlar yapılmasını gerektirir."
185,yerel,Evle veya kendi ülkesiyle ilgili.,"İç politika kararları, bir ülkenin uluslararası konumunu önemli ölçüde etkileyebilir."
186,hakim olmak,Başkaları üzerinde en fazla güce veya etkiye sahip olmak.,Küresel gıda üretim ticaretine az sayıda çokuluslu şirket hakim durumda.
187,ekonomi,Bir ülkedeki üretim ve tüketim sistemi.,"Ulusal ekonomiyi çeşitlendirmek, bir ülkenin emtia fiyat şoklarına karşı kırılganlığını azaltır."
188,emisyon,Gaz üretimi ve atmosfere salınımı.,"Karbon emisyonlarının azaltılması, iklim değişikliğiyle mücadeleするための uluslararası çabaların merkezinde yer almaktadır."
189,uygulamak,Bir kanun veya kurala uyulmasını sağlamak.,"Yeterli kaynak olmadan, hükümetler çevre koruma yasalarını etkili bir şekilde uygulayamazlar."
190,tanımlamak,Bir şeyin kimliğini tanımak veya belirlemek.,"Bu çalışmanın amacı, genç işsizliğindeki artışa katkıda bulunan temel faktörleri belirlemektir."
191,gözlemlemek,Bir şeyi dikkatle izlemek veya fark etmek.,"Bilim insanları, ekolojik sistemleri daha iyi anlamak için hayvanların doğal ortamlarındaki davranışlarını gözlemliyorlar."
192,kategori,Ortak özelliklere sahip şeylerin bir sınıfı veya grubu.,"Rapor, atıkları üç ana kategoriye ayırıyor: geri dönüştürülebilir, organik ve tehlikeli."
193,prensip,Davranışa yön veren temel bir gerçek veya kural.,"Eşitlik ilkesi, uluslararası insan hakları hukukunun ve demokratik yönetimin temelini oluşturur."
194,yayınlamak,Bilgiyi veya çalışmaları kamuoyunun kullanımına sunmak.,"Araştırmacılar, bilimsel bilgiye katkıda bulunmak için bulgularını güvenilir dergilerde yayınlamak zorundadırlar."
195,yenilik yapmak,Yeni fikirler veya yöntemler sunmak.,"Yenilik yapamayan şirketler, piyasada daha çevik rakipler tarafından geride bırakılma riskiyle karşı karşıya kalırlar."
196,entegre etmek,Parçaları bir araya getirerek veya bütün haline getirerek oluşturmak.,Mültecilerin ev sahibi topluluklara entegre olmalarına yardımcı olmak için etkili politikalara ihtiyaç vardır.
197,tahsis etmek,Kaynakları belirli bir amaç doğrultusunda dağıtmak.,"Hükümetler, kamu sağlığı hizmetlerini sürdürmek ve iyileştirmek için yeterli kaynak ayırmalıdır."
198,koordinat,İnsanları veya grupları birlikte çalışmak üzere organize etmek.,"Uluslararası kuruluşlar, etkinliği en üst düzeye çıkarmak için afet yardım çalışmalarını koordine etmelidir."
199,çekişme,Karşıt görüşlerin resmi bir şekilde tartışılması.,Ekonomistler arasında küreselleşmenin eşitsizlik üzerindeki uzun vadeli etkileri konusunda süregelen bir tartışma var.
200,ortaya çıkarmak,Bir şeyi açığa çıkarmak veya bir şeye karşı korumasız bırakmak.,"Medyada şiddete maruz kalan çocuklarda, zarara karşı duyarsızlaşma gelişebilir."
201,hızlanmak,Hızı veya oranı artırmak.,Teknolojik yenilikler birçok gelişmekte olan ülkede ekonomik büyümeyi hızlandırdı.
202,konaklamak,İhtiyaçlara yer açmak veya uyum sağlamak.,"Şehirler, artan kent nüfusuna uyum sağlamak için altyapılarını genişletmek zorundadır."
203,biriktirmek,Zamanla yavaş yavaş bir araya gelmek veya birikmek.,"Gelişmiş ülkelerdeki hane halkları, nesiller boyunca daha fazla servet biriktirme eğilimindedir."
204,kabullenmek,Bir şeyin varlığını tanımak veya kabul etmek.,"Hükümetler, yoksulluğun sosyal eşitsizliğin artmasında oynadığı rolü kabul etmelidir."
205,kazanma,Bir şeyi elde etme veya kazanma eylemi.,"Erken yaşta dil edinimi, bir çocuğun uzun vadeli akademik başarısı için kritik öneme sahiptir."
206,olumsuz,Zararlı veya olumsuz etkiye sahip.,Uzun süreli kirliliğe maruz kalmak halk sağlığı üzerinde olumsuz etkilere yol açabilir.
207,savunucu,Bir davayı veya politikayı kamuoyu önünde desteklemek.,"Birçok eğitimci, öğrenme sonuçlarını iyileştirmek için daha küçük sınıf mevcudiyetini savunmaktadır."
208,hafifletmek,Acıyı veya sorunu daha az şiddetli hale getirmek.,"Dış yardım programları, dünyanın en az gelişmiş ülkelerinde yoksulluğu hafifletmeyi amaçlamaktadır."
209,hırslı,Zorlu hedeflere ulaşma konusunda güçlü bir arzuya sahip olmak.,"Hükümet, 2030 yılına kadar karbon emisyonlarını %50 oranında azaltmak için iddialı bir hedef belirledi."
210,büyütmek,Bir şeyin gücünü veya etkisini artırmak.,"Sosyal medya, kamuoyundaki tartışmaları güçlendirebileceği gibi, yanlış bilgileri de hızla yayabilir."
211,beklemek,Bir şeyin gerçekleşmeden önce onu beklemek veya tahmin etmek.,"Politika yapıcılar, kamu hizmetlerini planlarken gelecekteki demografik değişimleri öngörmelidir."
212,görünür,Açıkça görülebilen veya bariz olan; doğru gibi görünen.,"Açıkça görülüyor ki, kaliteli eğitime erişim sosyal sınıflar arasında eşitsizdir."
213,bağlanmak,Bir şeyi bir faktörün sonucu olarak görmek.,"Araştırmacılar, obezitedeki artışı büyük ölçüde kötü beslenme alışkanlıklarına ve hareketsizliğe bağlıyor."
214,otonom,Dış kontrol olmaksızın bağımsız hareket etmek.,Otonom araçların küresel ulaşım sektörünü dönüştürmesi bekleniyor.
215,biyolojik çeşitlilik,Bir yaşam alanındaki bitki ve hayvan çeşitliliği.,"Ormanların yok edilmesi, tropikal yağmur ormanlarındaki biyolojik çeşitlilik için önemli bir tehdit oluşturmaktadır."
216,yük,Ağır bir yük veya sorumluluk; aşırı yüklemek.,Artan sağlık hizmeti maliyetleri hem bireyler hem de hükümetler üzerinde önemli bir yük oluşturmaktadır.
217,kapasite,Bir şeyin tutabileceği veya yapabileceği maksimum miktar.,"Gelişmekte olan ülkeler, iklim değişikliğiyle etkili bir şekilde mücadele edebilmek için kurumsal kapasitelerini geliştirmelidir."
218,karbon ayak izi,Bir kuruluşun ürettiği toplam sera gazı miktarı.,"Bireyler, bitkisel bazlı beslenmeyi benimseyerek karbon ayak izlerini önemli ölçüde azaltabilirler."
219,kronik,Uzun süre devam eden; sürekli tekrar eden.,"Kırsal bölgelerdeki kronik işsizlik, yaygın yoksulluğa ve sosyal dışlanmaya katkıda bulunur."
220,sivil,Vatandaşlar ve sorumluluklarıyla ilgili.,"Yurttaş katılımı, sağlıklı ve işlevsel bir demokrasinin sürdürülmesi için elzemdir."
221,işbirliği,Bir hedefe ulaşmak için başkalarıyla birlikte çalışmak.,İklim değişikliği gibi küresel sorunların üstesinden gelmek için uluslararası işbirliği şarttır.
222,yetkinlik,Bir şeyi etkili bir şekilde yapabilme yeteneği.,"İşverenler, geleneksel akademik niteliklerin yanı sıra dijital yetkinliğe de giderek daha fazla değer veriyor."
223,uyumluluk,"Kurallara, standartlara veya yasalara uymak.","Çevresel düzenlemelere sıkı bir şekilde uyulması, sürdürülebilir endüstriyel kalkınma için şarttır."
224,kapsayıcı,Tüm yönleriyle; kapsamlı ve eksiksiz.,"Halk sağlığına yönelik kapsamlı bir yaklaşım, hem önlemeyi hem de tedaviyi ele almalıdır."
225,kısıtlama,Eyleme getirilen bir sınırlama veya kısıtlama.,Bütçe kısıtlamaları genellikle hükümetlerin kamu altyapısına yeterli yatırım yapmasını engeller.
226,tüketim,"Malların, kaynakların veya enerjinin kullanımı.","Enerji tüketimini azaltmak, küresel ölçekte iklim değişikliğiyle mücadelede kilit bir stratejidir."
227,modern,Şu anda var olan veya meydana gelen.,"Günümüz toplumu, dijital teknoloji ve gizlilikle ilgili benzeri görülmemiş zorluklarla karşı karşıya."
228,tartışmalı,Şiddetli görüş ayrılığına veya tartışmaya yol açmak.,"Nükleer enerjinin kullanımı, çevre tartışmalarında hâlâ oldukça tartışmalı bir konu olmaya devam ediyor."
229,ilişkilendirmek,İki şey arasında karşılıklı bir ilişki olduğunu göstermek.,"Araştırmalar, daha yüksek eğitim seviyelerinin daha iyi ekonomik sonuçlarla güçlü bir şekilde ilişkili olduğunu göstermektedir."
230,müfredat,Okulda veya kursta öğretilen dersler.,"Birçok eğitimci, ulusal müfredata daha fazla eleştirel düşünme becerisi eklenmesi gerektiğini savunuyor."
231,ormansızlaştırma,İnsanlar tarafından ormanların büyük ölçekte yok edilmesi.,Amazon'daki ormansızlaşmanın başlıca nedenleri tarımsal genişleme ve büyükbaş hayvan yetiştiriciliğidir.
232,demografik,Bir nüfus grubuna ilişkin istatistiksel veriler.,"Nüfusun yaşlanmasına doğru yaşanan demografik değişimler, emeklilik sistemleri üzerinde önemli bir baskı oluşturacaktır."
233,tükenmek,Bir şeyin kaynağını azaltmak veya tüketmek.,"Aşırı avlanma, deniz kaynaklarını endişe verici ve sürdürülemez bir hızda tüketmeye devam ediyor."
234,bozulmak,Kalitesinin giderek kötüleşmesi.,"Acil müdahale yapılmadığı takdirde, kentsel alanlardaki çevre koşulları kötüleşmeye devam edecektir."
235,dijital,Bilgisayar teknolojisi ve internetle ilgili.,"Zengin ve fakir ülkeler arasındaki dijital uçurum, küresel eşitsizliği daha da kötüleştirme riski taşıyor."
236,azaltmak,Daha küçük veya daha önemsiz hale getirmek veya olmak.,"Otomasyon, imalat sektörlerinde düşük vasıflı işgücüne olan talebi azaltabilir."
237,tutarsızlık,Birbirine uyması gereken şeyler arasındaki fark.,Hükümetin açıkladığı hedefler ile uyguladığı politikalar arasında dikkat çekici bir tutarsızlık bulunmaktadır.
238,ayrımcılık,Grup üyeliğine dayalı haksız muamele.,"Kadınlara yönelik iş yerinde ayrımcılık, cinsiyet eşitliğinin önündeki önemli bir engel olmaya devam etmektedir."
239,eşitsizlik,Şeyler veya gruplar arasında büyük bir fark.,"En zengin ve en yoksul vatandaşlar arasındaki artan servet eşitsizliği, toplumsal uyumu tehdit ediyor."
240,yer değiştirme,İnsanların evlerinden zorla çıkarılması.,Ortadoğu'da silahlı çatışmalar milyonlarca insanın yerinden edilmesine neden oldu.
241,kesinti,Normal faaliyetleri kesintiye uğratan bir rahatsızlık.,"Dijital inovasyon, geleneksel iş modellerinde ve sektörlerde yaygın bir değişime yol açmıştır."
242,baskın,"En güçlü, en önemli veya en etkili olan.","İngilizce, uluslararası iş dünyasının ve akademik araştırmaların baskın dili haline gelmiştir."
243,kuraklık,"Uzun süreli, anormal derecede düşük yağış dönemi.","Sahra Altı Afrika'da uzun süren kuraklık, tarımsal üretimi ve gıda güvenliğini ciddi şekilde etkiledi."
244,ekolojik,Organizmalar ve çevre arasındaki ilişkiye dair.,"Endüstriyel tarım uygulamaları, toprak ve su yollarında ciddi ekolojik hasara yol açmıştır."
245,vurgu,Bir şeye verilen özel önem.,Modern eğitim müfredatlarında sosyal becerilerin geliştirilmesine verilen önem giderek artmaktadır.
246,epidemi,Bir bölgede hastalığın yaygın olarak görülmesi.,"Zengin ülkelerdeki obezite salgını, hareketsiz yaşam tarzı ve yetersiz beslenmeyle bağlantılıdır."
247,eşitlik,Eşit haklara ve fırsatlara sahip olma durumu.,İşyerinde cinsiyet eşitliğine ulaşmak hem yasal reform hem de kültürel değişim gerektirir.
248,etik,Ahlaki ilkeler ve doğru davranışla ilgili.,"Yapay zekanın kullanımı, gizlilik ve hesap verebilirlik konularında önemli etik soruları gündeme getiriyor."
249,harcama,Bir şeye harcanan para miktarı.,"Eğitime yönelik devlet harcamalarının artırılması, uzun vadede önemli ekonomik faydalar sağlayabilir."
250,faydalanmak,Bir kaynağı haksız yere kullanmak veya ondan faydalanmak.,"Çokuluslu şirketler, gelişmekte olan ülkelerdeki ucuz iş gücünü sömürmekle eleştiriliyor."
251,nesli tükenme,Bir türün varlığının tamamen sona ermesi.,"İnsan faaliyetleri, sayısız bitki ve hayvan türünü hızla yok olmaya doğru sürüklüyor."
252,kolaylaştırmak,Bir eylemi veya süreci kolaylaştırmak.,"Geliştirilmiş ulaşım altyapısı, ticareti kolaylaştırabilir ve ekonomik kalkınmayı önemli ölçüde artırabilir."
253,mali,Devlet gelirleri ve vergilendirme ile ilgili.,"Hükümetler, aşırı ulusal borç birikimini önlemek için ihtiyatlı mali politikalar benimsemelidir."
254,esnek,Değişen koşullara kolayca uyum sağlayabilir.,Esnek çalışma düzenlemelerinin çalışanların refahını ve verimliliğini artırdığı gösterilmiştir.
255,fosil yakıt,Eski organik maddelerden oluşmuş enerji kaynağı.,"Fosil yakıtların yakılmaya devam etmesi, küresel iklim değişikliğinin başlıca nedenidir."
256,kırılgan,Kolayca kırılabilir veya hasar görebilir; hassas ve kırılgan.,"Küçük ada ülkeleri, yükselen deniz seviyeleri nedeniyle tehdit altında olan özellikle kırılgan ekosistemlere sahiptir."
257,çerçeve,Eylemi yönlendirmek için kullanılan temel bir yapı veya sistem.,Yapay zekanın etik açıdan kullanımını düzenlemek için net bir yasal çerçeveye ihtiyaç vardır.
258,esas,Temel bir zemin veya çekirdek oluşturmak.,"Temiz suya erişim, birçok insanın hâlâ sahip olmadığı temel bir insan hakkıdır."
259,küreselleşme,Dünya çapında ekonomik ve kültürel entegrasyonun artırılması.,"Küreselleşme, ticaret için yeni fırsatlar yaratırken aynı zamanda ekonomik rekabeti de artırdı."
260,sağlık hizmeti,İnsanlara organize bir şekilde tıbbi hizmet sunulması.,"Evrensel sağlık hizmeti, tüm vatandaşların gelir düzeyine bakılmaksızın tıbbi tedavi almasını sağlar."
261,hipotez,Daha fazla test gerektiren önerilen bir açıklama.,"Araştırmacı, beslenmenin çocuklarda bilişsel gelişimi doğrudan etkilediği hipotezini öne sürdü."
262,birebir aynı,Her ayrıntısıyla tıpatıp aynı.,"Çalışma, farklı eğitim geçmişine sahip iki grup arasında neredeyse aynı sonuçları buldu."
263,ima,Muhtemel bir sonuç veya ima edilen anlam.,"Otomasyonun yükselişi, gelecekteki istihdam ve gelir dağılımı açısından önemli sonuçlar doğuracaktır."
264,teşvik,İstenilen eylemi teşvik eden bir şey.,"Vergi teşvikleri, işletmeleri yenilenebilir enerji teknolojilerine yatırım yapmaya teşvik edebilir."
265,eşitsizlik,Kaynakların veya fırsatların eşitsiz dağılımı.,"Artan gelir eşitsizliği, modern çağın en acil sosyal sorunlarından biridir."
266,kaçınılmaz,Olması kesin; kaçınması imkansız.,"Bazı ekonomistler, teknolojik işsizliğin otomasyonun kaçınılmaz bir sonucu olduğunu savunuyor."
267,enflasyon,Zaman içinde fiyatlarda genel bir artış.,"Yüksek enflasyon, satın alma gücünü aşındırır ve düşük gelirli haneleri orantısız bir şekilde etkiler."
268,yenilik,"Yeni fikirlerin, yöntemlerin veya ürünlerin tanıtılması.","Yenilenebilir enerji alanındaki sürekli yenilik, küresel sürdürülebilirlik hedeflerine ulaşmak için şarttır."
269,etkileşim,Taraflar arasında karşılıklı eylem veya iletişim.,Küçük çocuklarda temel sosyal becerilerin gelişmesi için yüz yüze etkileşim hayati önem taşır.
270,araya girmek,Bir durumu iyileştirmek veya önlemek için alınan önlem.,Finansal krizin daha da kötüleşmesini önlemek için hükümetin erken müdahalesi şarttır.
271,yatırım,Gelecekte fayda bekleyerek kaynak tahsis etmek.,"Doğrudan yabancı yatırımlar, gelişmekte olan ülkelerde ekonomik büyümenin hızlandırılmasında çok önemli bir rol oynamaktadır."
272,mevzuat,Hükümet tarafından çıkarılan kanunlar veya kanunlar bütünü.,İşyerindeki güvensiz koşullardan işçileri korumak için daha güçlü yasal düzenlemelere ihtiyaç vardır.
273,okuryazarlık,"Okuma, yazma veya bir beceriyi kullanma yeteneği.","Yüksek okuryazarlık oranları, ekonomik verimliliğin ve sosyal sonuçların iyileşmesiyle yakından ilişkilidir."
274,marjinalleştirmek,Bir grubu önemsiz veya ikincil olarak değerlendirmek.,"Kırsal bölgeleri göz ardı eden ekonomik politikalar, zaten savunmasız durumda olan toplulukları daha da marjinalleştirmeye eğilimlidir."
275,mekanizma,Bir sonuca ulaşmak için kullanılan sistem veya süreç.,Serbest piyasalarda tekelci uygulamaların önlenmesi için etkili düzenleyici mekanizmalar hayati öneme sahiptir.
276,metodoloji,Araştırmada kullanılan yöntemler sistemi.,Çalışmanın araştırma yöntemindeki önemli kusurlar nedeniyle sonuçları sorgulandı.
277,göç,İnsanların bir yerden başka yere hareket etmesi.,Son yıllarda birçok gelişmekte olan ülkede kent merkezlerine ekonomik göç hız kazandı.
278,zihniyet,Yerleşik bir tutum veya inançlar kümesi.,"Gelişim odaklı bir zihniyet, öğrencileri hataları öğrenme fırsatı olarak görmeye teşvik eder."
279,hareketlilik,Pozisyonlar arasında serbestçe hareket edebilme yeteneği.,"Eğitim, modern toplumlarda sosyal hareketliliğin en önemli itici gücü olarak geniş çapta kabul görmektedir."
280,ölümlülük,Bir popülasyondaki ölüm oranı.,"Gelişen hijyen koşulları, gelişmekte olan ülkelerde çocuk ölüm oranlarını önemli ölçüde düşürmüştür."
281,motivasyon,Bir kişinin eyleminin ardındaki sebep veya itici güç.,"İçsel motivasyonu yüksek olan öğrenciler, yalnızca dışsal ödüllerle motive olan öğrencilere göre daha başarılı olma eğilimindedir."
282,belediye,Bir kasaba veya şehir yönetimiyle ilgili.,"Belediyeler, atık toplama ve toplu taşıma sistemlerinin yönetiminden sorumludur."
283,anlatı,Olayların sözlü veya yazılı anlatımı.,"Medya, göçmenlik konusundaki kamuoyu algısını şekillendirmede güçlü bir rol oynamaktadır."
284,müzakere,Tartışma yoluyla anlaşmaya varmak.,"Dünya liderleri, küresel iklim değişikliğiyle etkili bir şekilde mücadele etmek için bağlayıcı anlaşmalar müzakere etmelidir."
285,obezite,Aşırı kilolu olma durumu.,Sağlıksız beslenme alışkanlıkları nedeniyle birçok ülkede çocukluk çağı obezite oranları hızla artmıştır.
286,yükümlülük,Bir şeyi yapma konusunda ahlaki veya yasal bir yükümlülük.,"Zengin ülkelerin, iklim değişikliğinden en çok etkilenen ülkelere yardım etme konusunda ahlaki bir yükümlülüğü vardır."
287,engel,İlerlemenin veya başarının önünde engel teşkil eden bir şey.,"Finansman eksikliği, birçok ülkede eğitim reformunun önündeki en önemli engellerden biri olmaya devam ediyor."
288,muhalefet,Bir şeye karşı direnme veya çatışma.,"Önerilen yol genişletme projesi, yerel çevre gruplarından şiddetli bir muhalefetle karşılaştı."
289,organik,Yapay kimyasallar kullanılmadan üretilmiştir; doğal olarak elde edilmiştir.,Tüketicilerin sağlık konusunda daha bilinçli hale gelmesiyle birlikte organik gıdalara olan talep önemli ölçüde arttı.
290,aşırı kalabalık,Sınırlı bir alanda çok fazla insan.,"Hızlı kentleşme, gelişmekte olan dünyadaki büyük şehirlerde ciddi aşırı kalabalığa yol açmıştır."
291,pandemi,Dünya çapında ülkelere yayılan bir hastalık.,"COVID-19 pandemisi, küresel halk sağlığı altyapısındaki kritik zayıflıkları ortaya çıkardı."
292,penaltı,Bir kuralı veya yasayı çiğnemenin cezası.,"Çevre kirliliğine yönelik daha ağır mali cezalar getirilmesi, sanayilerin çevre ihlallerinden kaçınmasını sağlayabilir."
293,algı,Bir şeyin inancı veya yorumu.,"Göçmenliğe ilişkin kamuoyu algısı, istatistiksel kanıtlardan ziyade genellikle medya haberleri tarafından şekillendirilmektedir."
294,perspektif,Belirli bir bakış açısı veya olaylara bakma biçimi.,"Konuyu, en doğrudan etkilenenlerin bakış açısından değerlendirmek şarttır."
295,fenomen,"Gözlemlenebilir, genellikle dikkat çekici bir olgu veya olay.","Kentleşme, hem fırsatlar hem de önemli zorluklar sunan küresel bir olgudur."
296,yoksulluk,Son derece yoksul olma durumu.,"Aşırı yoksulluğun ortadan kaldırılması, uluslararası kalkınmanın en önemli hedeflerinden biri olmaya devam etmektedir."
297,ön yargı,"Akla dayanmayan, haksız bir görüş.",Irk ayrımcılığıyla mücadele hem yasal reform hem de geniş kapsamlı eğitim girişimleri gerektirir.
298,öncelik,En önemli olarak sıralanan bir şey.,"Kaliteli eğitime erişimi iyileştirmek, sorumlu her hükümetin en öncelikli görevi olmalıdır."
299,verimlilik,Girdi birimi başına çıktı verimliliği.,"Çalışan eğitimine yatırım yapmak, iş yeri verimliliğini artırmanın en etkili yollarından biridir."
300,ilerleyici,Reformu ve toplumsal ilerlemeyi desteklemek.,"Artan oranlı vergi sistemi, yüksek gelirli kişilerin daha büyük oranda vergi ödemesini sağlar."
301,oran,Bir bütünün parçası; karşılaştırmalı oran.,Ulusal servetin orantısız derecede büyük bir kısmı nüfusun küçük bir kesiminin elinde bulunuyor.
302,psikolojik,Zihin ve zihinsel süreçlerle ilgili.,İşsizliğin depresyon ve kimlik kaybı da dahil olmak üzere ciddi psikolojik sonuçları olabilir.
303,durgunluk,Önemli bir ekonomik gerileme dönemi.,"Ekonomik durgunluk döneminde, artan işsizlik ve azalan tüketici harcamaları olumsuz bir döngü yaratır."
304,rehabilitasyon,Sağlığın veya normal yaşamın yeniden kazanılması süreci.,"Rehabilitasyon programlarına yatırım yapmak, yeniden suç işleme oranlarını yalnızca hapis cezasına kıyasla daha etkili bir şekilde düşürmektedir."
305,yenilenebilir,Doğal olarak yenilenebilen bir kaynak.,"Yenilenebilir enerji kaynaklarına yatırım, küresel ölçekte fosil yakıtlara olan bağımlılığı azaltmak için hayati önem taşımaktadır."
306,kısıtlama,Faaliyetleri sınırlayan bir kural veya koşul.,"Pandemi sırasında uygulanan seyahat kısıtlamaları, küresel turizmde önemli aksamalara neden oldu."
307,hasılat,Hükümet veya işletme tarafından elde edilen gelir.,"Hükümetler, sağlık ve eğitim gibi temel kamu hizmetlerini finanse etmek için vergi gelirlerine güvenir."
308,devrim,Toplumda dramatik ve temel bir değişim.,"Sanayi devrimi, küresel ekonomiyi ve insan emeğinin biçimlerini temelden değiştirdi."
309,sanitasyon,Hijyen ve atık yönetimi sistemleri.,"Nüfus yoğunluğunun yüksek olduğu kentsel alanlarda yetersiz hijyen koşulları, bulaşıcı hastalıkların yayılmasına katkıda bulunur."
310,kıtlık,İhtiyaç duyulan kaynağın yetersiz tedariği.,"Su kıtlığı, önümüzdeki on yıllarda insanlığın hayatta kalması için en ciddi tehditlerden birini oluşturmaktadır."
311,şüpheci,İddiaları sorgulamaya veya şüphe duymaya meyilli.,"Birçok ekonomist, mevcut hükümet harcamalarının uzun vadeli sürdürülebilirliği konusunda şüpheci kalmaya devam ediyor."
312,sosyal hareketlilik,Sosyal sınıflar arasında geçiş yapabilme yeteneği.,"Eğitim, sosyal hareketliliği artırmak için en güçlü araç olarak kabul edilmektedir."
313,klişe,"Bir grubun sabit, aşırı basitleştirilmiş bir görüntüsü.",Medya temsilleri genellikle azınlık toplulukları hakkında zararlı klişeleri pekiştirir.
314,uyarıcı,Bir tepkiye veya eyleme yol açan şey.,"Hükümet, durgunluğun ardından ekonomiyi canlandırmak için büyük bir teşvik paketi başlattı."
315,banliyö,Şehrin eteklerinde yer alan bir yerleşim bölgesi.,"Banliyölerin büyümesi, otomobil bağımlılığını artırdı ve kentleşmenin yayılmasına katkıda bulundu."
316,gözetim,Özellikle yetkililer tarafından yakından gözlem.,"Hükümetlerin kitlesel gözetimi, bireysel mahremiyet ve sivil özgürlükler konusunda ciddi endişeler doğurmaktadır."
317,vergilendirme,Vatandaşlardan vergi alma sistemi.,"Adil ve kademeli vergilendirme, kamu hizmetlerinin finansmanı ve eşitsizliğin azaltılması için şarttır."
318,geçiş,Bir halden diğerine geçiş.,Küresel sıcaklık artışını sınırlamak için yenilenebilir enerjiye hızlı bir geçiş şarttır.
319,şeffaflık,Süreçlerde veya yönetimde açıklık ve şeffaflık.,"Devlet harcamalarında daha fazla şeffaflık, yolsuzluğu azaltmaya ve kamu güvenini artırmaya yardımcı olabilir."
320,işsizlik,Ücretli bir işi olmama durumu.,"Otomasyonun yol açtığı yapısal işsizlik, dünya genelindeki hükümetler için büyük bir zorluk teşkil etmektedir."
321,kentleşme,Şehirlerde yaşayan insanların oranı giderek artıyor.,"Asya'daki hızlı kentleşme mega şehirler yaratmış olsa da, ciddi altyapı sorunlarına da yol açmıştır."
322,aşı,Hastalıklara karşı bağışıklık sağlayan tedavi.,"Kitlesel aşılama programları, çiçek hastalığı gibi hastalıkları ortadan kaldırmış ve dünya çapında çocuk felcini kontrol altına almıştır."
323,gönüllü,"Dış baskı olmaksızın, gönüllü olarak yapılmıştır.","Gönüllü kuruluşlar, toplumun savunmasız kesimlerini desteklemede çok önemli bir rol oynamaktadır."
324,güvenlik açığı,Zarara veya zorluğa maruz kalmak.,"Küçük ada ülkeleri, yükselen deniz seviyelerinin sonuçlarına karşı son derece savunmasız durumdadır."
325,yaygın,Geniş bir alanda bulunan veya dağılmış olan.,"İnternete yaygın erişim, küresel ölçekte iletişimi ve bilgiye erişimi dönüştürdü."
326,işgücü,İşe alınmaya müsait tüm kişiler.,"Yaşlanan işgücü, gelişmiş ülkelerdeki emeklilik sistemleri için önemli zorluklar yaratmaktadır."
327,teslim olmak,Bir sonuç veya ürün üretmek veya sağlamak.,"Gelişen tarım teknikleri, kuraklığa eğilimli bölgelerde çiftçilerin daha büyük ürünler elde etmelerine yardımcı oldu."
